,trial_names,result
0,look_at_obj_in_light-Watch-None-FloorLamp-202_0:,PASS
1,look_at_obj_in_light-Statue-None-FloorLamp-221_0:,PASS
2,look_at_obj_in_light-Watch-None-FloorLamp-202_0:,PASS
3,look_at_obj_in_light-Watch-None-FloorLamp-202_0:,PASS
4,look_at_obj_in_light-CreditCard-None-FloorLamp-220_0:,PASS
5,look_at_obj_in_light-CreditCard-None-FloorLamp-225_0:,PASS
6,look_at_obj_in_light-Statue-None-FloorLamp-221_0:,PASS
7,look_at_obj_in_light-CreditCard-None-FloorLamp-225_0:,PASS
8,look_at_obj_in_light-CreditCard-None-FloorLamp-209_0:,PASS
9,look_at_obj_in_light-CreditCard-None-FloorLamp-209_0:,PASS
10,look_at_obj_in_light-Box-None-FloorLamp-212_0:,PASS
11,look_at_obj_in_light-Box-None-FloorLamp-212_0:,PASS
12,look_at_obj_in_light-CreditCard-None-FloorLamp-220_0:,PASS
13,look_at_obj_in_light-CreditCard-None-FloorLamp-209_0:,PASS
14,look_at_obj_in_light-CreditCard-None-FloorLamp-225_0:,PASS
15,look_at_obj_in_light-Box-None-FloorLamp-212_0:,PASS
16,look_at_obj_in_light-Statue-None-FloorLamp-221_0:,PASS
17,look_at_obj_in_light-CreditCard-None-FloorLamp-205_0:,FAIL
18,look_at_obj_in_light-CreditCard-None-FloorLamp-205_0:,FAIL
19,look_at_obj_in_light-CreditCard-None-FloorLamp-205_0:,PASS
20,look_at_obj_in_light-Book-None-DeskLamp-316_0:,PASS
21,look_at_obj_in_light-Book-None-DeskLamp-316_0:,PASS
22,look_at_obj_in_light-CD-None-DeskLamp-305_0:,PASS
23,look_at_obj_in_light-BasketBall-None-DeskLamp-304_0:,FAIL
24,look_at_obj_in_light-BasketBall-None-DeskLamp-304_0:,PASS
25,look_at_obj_in_light-CD-None-DeskLamp-305_0:,PASS
26,look_at_obj_in_light-CellPhone-None-FloorLamp-219_0:,PASS
27,look_at_obj_in_light-CellPhone-None-FloorLamp-219_0:,PASS
28,look_at_obj_in_light-TennisRacket-None-DeskLamp-328_0:,PASS
29,look_at_obj_in_light-BasketBall-None-DeskLamp-304_0:,PASS
30,look_at_obj_in_light-TennisRacket-None-DeskLamp-328_0:,PASS
31,look_at_obj_in_light-CD-None-DeskLamp-305_0:,PASS
32,look_at_obj_in_light-TennisRacket-None-DeskLamp-328_0:,PASS
33,look_at_obj_in_light-BasketBall-None-DeskLamp-301_0:,PASS
34,look_at_obj_in_light-BasketBall-None-DeskLamp-301_0:,PASS
35,look_at_obj_in_light-BasketBall-None-DeskLamp-301_0:,PASS
36,look_at_obj_in_light-CellPhone-None-FloorLamp-219_0:,PASS
37,look_at_obj_in_light-Book-None-DeskLamp-309_0:,PASS
38,look_at_obj_in_light-Book-None-DeskLamp-309_0:,PASS
39,look_at_obj_in_light-Book-None-DeskLamp-309_0:,PASS
40,look_at_obj_in_light-Pencil-None-DeskLamp-328_0:,FAIL
41,look_at_obj_in_light-Pencil-None-DeskLamp-328_0:,PASS
42,look_at_obj_in_light-Laptop-None-DeskLamp-324_0:,PASS
43,look_at_obj_in_light-Pencil-None-DeskLamp-328_0:,PASS
44,look_at_obj_in_light-AlarmClock-None-DeskLamp-324_0:,PASS
45,look_at_obj_in_light-CD-None-DeskLamp-327_0:,PASS
46,look_at_obj_in_light-CD-None-DeskLamp-327_0:,PASS
47,look_at_obj_in_light-CD-None-DeskLamp-327_0:,FAIL
48,look_at_obj_in_light-AlarmClock-None-DeskLamp-324_0:,PASS
49,look_at_obj_in_light-AlarmClock-None-DeskLamp-324_0:,PASS
50,look_at_obj_in_light-Laptop-None-DeskLamp-324_0:,PASS
51,look_at_obj_in_light-Pillow-None-FloorLamp-223_0:,FAIL
52,look_at_obj_in_light-Pillow-None-FloorLamp-223_0:,FAIL
53,look_at_obj_in_light-CreditCard-None-FloorLamp-212_0:,PASS
54,look_at_obj_in_light-CreditCard-None-FloorLamp-212_0:,PASS
55,look_at_obj_in_light-CreditCard-None-FloorLamp-212_0:,PASS
56,look_at_obj_in_light-Pillow-None-FloorLamp-223_0:,PASS
57,look_at_obj_in_light-RemoteControl-None-FloorLamp-203_0:,FAIL
58,look_at_obj_in_light-RemoteControl-None-FloorLamp-203_0:,PASS
59,look_at_obj_in_light-RemoteControl-None-FloorLamp-203_0:,PASS
60,look_at_obj_in_light-Pencil-None-DeskLamp-320_0:,PASS
61,look_at_obj_in_light-TennisRacket-None-DeskLamp-318_0:,PASS
62,look_at_obj_in_light-TennisRacket-None-DeskLamp-318_0:,PASS
63,look_at_obj_in_light-TennisRacket-None-DeskLamp-318_0:,PASS
64,look_at_obj_in_light-Book-None-DeskLamp-304_0:,PASS
65,look_at_obj_in_light-Pencil-None-DeskLamp-320_0:,PASS
66,look_at_obj_in_light-Book-None-DeskLamp-304_0:,PASS
67,look_at_obj_in_light-Book-None-DeskLamp-304_0:,PASS
68,look_at_obj_in_light-RemoteControl-None-FloorLamp-225_0:,PASS
69,look_at_obj_in_light-Pencil-None-DeskLamp-320_0:,PASS
70,look_at_obj_in_light-RemoteControl-None-FloorLamp-225_0:,PASS
71,look_at_obj_in_light-Box-None-DeskLamp-205_0:,PASS
72,look_at_obj_in_light-RemoteControl-None-FloorLamp-208_0:,PASS
73,look_at_obj_in_light-RemoteControl-None-FloorLamp-208_0:,FAIL
74,look_at_obj_in_light-RemoteControl-None-FloorLamp-208_0:,FAIL
75,look_at_obj_in_light-Box-None-DeskLamp-205_0:,PASS
76,look_at_obj_in_light-Pillow-None-DeskLamp-323_0:,PASS
77,look_at_obj_in_light-Pillow-None-DeskLamp-323_0:,FAIL
78,look_at_obj_in_light-Box-None-DeskLamp-218_0:,PASS
79,look_at_obj_in_light-Pillow-None-DeskLamp-323_0:,FAIL
80,look_at_obj_in_light-KeyChain-None-DeskLamp-327_0:,PASS
81,look_at_obj_in_light-TennisRacket-None-DeskLamp-324_0:,FAIL
82,look_at_obj_in_light-Laptop-None-DeskLamp-328_0:,PASS
83,look_at_obj_in_light-TennisRacket-None-DeskLamp-324_0:,PASS
84,look_at_obj_in_light-Laptop-None-DeskLamp-328_0:,PASS
85,look_at_obj_in_light-Pillow-None-DeskLamp-306_0:,PASS
86,look_at_obj_in_light-TennisRacket-None-DeskLamp-324_0:,PASS
87,look_at_obj_in_light-Pillow-None-DeskLamp-306_0:,PASS
88,look_at_obj_in_light-Pillow-None-DeskLamp-306_0:,PASS
89,look_at_obj_in_light-KeyChain-None-DeskLamp-327_0:,PASS
90,look_at_obj_in_light-Box-None-DeskLamp-303_0:,PASS
91,look_at_obj_in_light-KeyChain-None-DeskLamp-327_0:,PASS
92,look_at_obj_in_light-Watch-None-FloorLamp-210_0:,PASS
93,look_at_obj_in_light-Watch-None-FloorLamp-210_0:,PASS
94,look_at_obj_in_light-Box-None-DeskLamp-218_0:,PASS
95,look_at_obj_in_light-Watch-None-FloorLamp-210_0:,PASS
96,look_at_obj_in_light-Box-None-DeskLamp-218_0:,FAIL
97,look_at_obj_in_light-Statue-None-FloorLamp-224_0:,PASS
98,look_at_obj_in_light-Statue-None-FloorLamp-224_0:,PASS
99,look_at_obj_in_light-Statue-None-FloorLamp-224_0:,PASS
100,look_at_obj_in_light-Cloth-None-DeskLamp-303_0:,FAIL
101,look_at_obj_in_light-BaseballBat-None-DeskLamp-308_0:,FAIL
102,look_at_obj_in_light-BaseballBat-None-DeskLamp-308_0:,FAIL
103,look_at_obj_in_light-BaseballBat-None-DeskLamp-308_0:,FAIL
104,look_at_obj_in_light-Cloth-None-DeskLamp-303_0:,FAIL
105,look_at_obj_in_light-Box-None-DeskLamp-303_0:,FAIL
106,look_at_obj_in_light-Box-None-DeskLamp-303_0:,PASS
107,look_at_obj_in_light-Cloth-None-DeskLamp-303_0:,PASS
108,look_at_obj_in_light-CD-None-DeskLamp-307_0:,PASS
109,look_at_obj_in_light-KeyChain-None-FloorLamp-223_0:,PASS
110,look_at_obj_in_light-KeyChain-None-FloorLamp-223_0:,FAIL
111,look_at_obj_in_light-KeyChain-None-FloorLamp-223_0:,PASS
112,look_at_obj_in_light-Pen-None-DeskLamp-309_0:,PASS
113,look_at_obj_in_light-Pen-None-DeskLamp-309_0:,PASS
114,look_at_obj_in_light-Pen-None-DeskLamp-309_0:,PASS
115,look_at_obj_in_light-CD-None-DeskLamp-307_0:,PASS
116,look_at_obj_in_light-KeyChain-None-DeskLamp-309_0:,FAIL
117,look_at_obj_in_light-KeyChain-None-DeskLamp-309_0:,FAIL
